"contrast","ratio","SE","df","null","t.ratio","p.value"
"Melipona bicolor / Melipona marginata",1.68786461402031,0.341637829266117,45,1,2.58617929260951,0.691830248990535
"Melipona bicolor / Melipona mondury",0.966794869037747,0.19560835515958,45,1,-0.166903071772303,1
"Melipona bicolor / Melipona quadrifasciata",0.763766441191871,0.146492854882433,45,1,-1.405050740389,0.999686602126417
"Melipona bicolor / Melipona scutellaris",0.842061855474769,0.165656241622275,45,1,-0.873809229029142,0.999999976444518
"Melipona bicolor / Nannotrigona testaceicornis",1.40339735823777,0.297131225499541,45,1,1.60065884782256,0.997584389028985
"Melipona bicolor / Oxytrigona tataira",2.91748582095458,0.790862963082836,45,1,3.94988393176575,0.0539412512683013
"Melipona bicolor / Partamona helleri",0.701363069826025,0.138309847603032,45,1,-1.7988179572411,0.988309397477721
"Melipona bicolor / Plebeia droryana",1.13337595405328,0.215811087482501,45,1,0.657517274642582,0.999999999973222
"Melipona bicolor / Plebeia lucii",1.28566726750452,0.246965686880582,45,1,1.30811579949791,0.999909029910023
"Melipona bicolor / Plebeia phrynostoma",1.57902537818279,0.458535293206701,45,1,1.57307655836777,0.998129362668641
"Melipona bicolor / Scaptotrigona bipunctata",0.940907031479152,0.180492517990068,45,1,-0.317528583035324,1
"Melipona bicolor / Scaptotrigona depilis",1.17759734866494,0.316406822436317,45,1,0.608422912107113,1
"Melipona bicolor / Scaptotrigona polysticta",0.764405370569814,0.147539306838228,45,1,-1.39191981589628,0.999732385411076
"Melipona bicolor / Scaptotrigona xanthotricha",0.81354258473229,0.156569789189524,45,1,-1.0722388592586,0.999998016802964
"Melipona bicolor / Schwarziana quadrifasciata",1.38282275702081,0.296625082757902,45,1,1.51103214246116,0.998985541850621
"Melipona bicolor / Tetragona clavipes",1.07495432201691,0.214859620109034,45,1,0.361611598699128,1
"Melipona bicolor / Tetragonisca angustula",1.49002228147245,0.320152987547957,45,1,1.85601137208081,0.982899497346976
"Melipona bicolor / Trigona hyalinata",1.33862151528897,0.287936896639071,45,1,1.35583897461009,0.999829210006299
"Melipona bicolor / Trigona spinipes",1.0956588589468,0.208742019119833,45,1,0.479514760129416,1
"Melipona capixaba / Melipona captiosa",1.46832117653646,0.279024494329141,45,1,2.02136761691014,0.95608805051568
"Melipona capixaba / Melipona fulva",1.15443810026329,0.254671163788996,45,1,0.651008782633095,0.999999999979139
"Melipona capixaba / Melipona mandacaia",1.35918166322694,0.260019408489803,45,1,1.6041474654652,0.99750671039359
"Melipona capixaba / Melipona marginata",2.24661852238221,0.42693471416907,45,1,4.25936764660166,0.0235258135251306
"Melipona capixaba / Melipona mondury",1.28684447916162,0.244551544977766,45,1,1.32705468959743,0.999882603266591
"Melipona capixaba / Melipona quadrifasciata",1.01660513485648,0.199126357334913,45,1,0.0840784892325307,1
"Melipona capixaba / Melipona scutellaris",1.12081961182604,0.214487980251202,45,1,0.596028386169613,1
"Melipona capixaba / Nannotrigona testaceicornis",1.86798068582609,0.356753126696449,45,1,3.2717938219001,0.252521832226655
"Melipona capixaba / Oxytrigona tataira",3.88329586964442,1.05378702550932,45,1,4.99949818472274,0.0026307331438824
"Melipona capixaba / Partamona helleri",0.933543632882299,0.178456061832802,45,1,-0.359738593309452,1
"Melipona capixaba / Plebeia droryana",1.50857088302467,0.301137123152698,45,1,2.05975328740073,0.946940777311676
"Melipona capixaba / Plebeia lucii",1.71127700219766,0.334368545521805,45,1,2.74955960423956,0.578468633756443
"Melipona capixaba / Plebeia phrynostoma",2.10174893914469,0.684594042293749,45,1,2.28035243951542,0.868664377854711
"Melipona capixaba / Scaptotrigona bipunctata",1.25238668267696,0.245254557741171,45,1,1.14921807903153,0.999992006201514
"Melipona capixaba / Scaptotrigona depilis",1.56743141211858,0.436224576090609,45,1,1.61491041097492,0.997253582365883
"Melipona capixaba / Scaptotrigona polysticta",1.01745557662951,0.197531650648751,45,1,0.08913531761583,1
"Melipona capixaba / Scaptotrigona xanthotricha",1.08285926751722,0.21099832848733,45,1,0.408538903335766,1
"Melipona capixaba / Schwarziana quadrifasciata",1.84059502953548,0.399297835416641,45,1,2.81225317656101,0.534350981419734
"Melipona capixaba / Tetragona clavipes",1.43080924293193,0.272368675252637,45,1,1.881910143356,0.979881875305866
"Melipona capixaba / Tetragonisca angustula",1.98328208821489,0.380416501616024,45,1,3.56992543119041,0.135264107683309
"Melipona capixaba / Trigona hyalinata",1.78176132476901,0.385152217679166,45,1,2.67205935868074,0.63290075959142
